"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","country"
"beta",0.470342436417286,0.00227532223736361,0.170217546510171,0.132115755020705,0.354724764883414,0.47198118584328,0.583942730320909,0.798015440707761,5596.58146851214,1.00035401714605,"AT"
"kappa",-0.0107320595515129,0.000433763084950456,0.0323539292299472,-0.0743599076381003,-0.0327198156921184,-0.0107493308097769,0.0110584039451854,0.0531907612631516,5563.51014653313,0.999758656796656,"AT"
"sigma",0.676277482551066,0.000585672394281971,0.0461104580033765,0.5938012295896,0.643891892331671,0.673427575513438,0.70578200355213,0.774032944479242,6198.53936969141,0.999857660982737,"AT"
"beta1",0.481744164827418,0.00249226577300951,0.178176301686884,0.118934846840444,0.36535526832238,0.482051305677108,0.601960340114173,0.829252480525312,5111.06229241378,1.00045409790879,"BE"
"kappa1",0.00665145211382672,0.00123138973304811,0.0885381730557269,-0.160893298261176,-0.0535632263399049,0.00575843334897202,0.0680748299950413,0.174251200942586,5169.75612023673,1.0017994452334,"BE"
"sigma1",1.41274601414385,0.00133102293687903,0.0963256142873175,1.23793082373658,1.34769303127375,1.40655349739069,1.47318257202563,1.61625570037032,5237.36082609806,1.000131717028,"BE"
"beta2",1.04097081106672,0.00027533105000861,0.0218637582109446,0.99789289883549,1.02681792797487,1.04126246411129,1.05550728900716,1.08413122719873,6305.78631658449,1.00012596286047,"BG"
"kappa2",0.0707754294099869,0.00079310438301886,0.0589259814793817,-0.0424363027222432,0.0301832625272599,0.0708410338549178,0.11144759132189,0.18666011063637,5520.17632192847,0.999841581999802,"BG"
"sigma2",1.0526025140436,0.00095688785886295,0.0734748440169027,0.918341788839585,1.00165247212576,1.04953611133843,1.09920098438309,1.21156314153773,5895.96989149073,1.00015627863614,"BG"
"beta3",0.502325357958288,0.00115230865259807,0.0821454319610653,0.341750898196335,0.447811730333642,0.50117095257162,0.558388631263762,0.661392381854528,5081.93597669324,0.999735358873824,"HR"
"kappa3",-0.00372290594600791,0.000274910594956455,0.0218479846017617,-0.0462203659780581,-0.0183367083924004,-0.00375151565012582,0.0107503953164792,0.0393224030685758,6315.96633730409,1.00072971986041,"HR"
"sigma3",0.615000106602092,0.000582081347162008,0.0441148451181957,0.537491774460348,0.583973745732247,0.611898042753284,0.642635319008868,0.709708281184348,5743.83760449078,0.999951213051709,"HR"
"beta4",0.485876309695702,0.00221049008136404,0.160272576134191,0.172361358946081,0.379443949679403,0.486894636807682,0.591582812480408,0.804479765362998,5257.04015272179,1.00035583855156,"CY"
"kappa4",-0.027547637764933,0.00108555356113218,0.0778042922648858,-0.1788120163839,-0.0792028866465826,-0.0272433086367176,0.0239307664131411,0.123833811086583,5136.94126849497,0.999982554976263,"CY"
"sigma4",1.85103387602395,0.00164364148115346,0.124958980610773,1.62450983429494,1.763188599915,1.84468000506035,1.92975652620649,2.1127123745662,5779.90580764669,0.999997236891088,"CY"
"beta5",0.492144052303265,0.00139826669242997,0.102272531905526,0.290452430781054,0.423801848878996,0.492750399854488,0.560944288794038,0.69375129272542,5349.80546577806,1.00028618583067,"CZ"
"kappa5",0.0208870030551866,0.000938618382072233,0.0720082159461707,-0.116938632600827,-0.0279369214518701,0.0212839557927475,0.0689637462286624,0.162220006478255,5885.53560964604,1.0001013700829,"CZ"
"sigma5",1.36334212049574,0.00120660978081648,0.0924840210919587,1.19720845353609,1.2974300173212,1.3582462444492,1.42207760872679,1.56159985558478,5874.88981011774,0.999831525862699,"CZ"
"beta6",0.485909767936996,0.00134537871246985,0.0964399673009135,0.300199316658303,0.419844689167498,0.484203075813003,0.550363608155604,0.675192419398519,5138.36564734038,1.00051790684376,"DK"
"kappa6",0.0280997315730275,0.000447753595156306,0.0320416893861607,-0.0343722752896235,0.00676585516578738,0.0278051155003788,0.0498345187516164,0.0910777890859117,5120.97491922141,0.999934655819841,"DK"
"sigma6",0.503748635920924,0.000465664248411838,0.0343338838613099,0.442204296759373,0.480218418822105,0.501772491881979,0.525151271816068,0.57801198722435,5436.25819550053,1.00017573977242,"DK"
"beta7",0.505025944021915,0.000825031316275854,0.0674445494664997,0.371382851036373,0.458750246006502,0.504783443356742,0.55141203260841,0.636455848134262,6682.71359115016,1.00031937484114,"EE"
"kappa7",-0.00118476089011739,0.000310207421915924,0.0241139841868694,-0.0497545471480521,-0.0171479258445396,-0.00115745713167126,0.0149454246557303,0.0457728491680284,6042.73535921489,1.00011508975959,"EE"
"sigma7",0.771961062488307,0.000722563074424991,0.0519886026669337,0.679482830306746,0.735338772000692,0.769112463942037,0.804967537575124,0.882803575855564,5176.84023184715,1.00019399384235,"EE"
"beta8",0.49431607365676,0.00116432010321861,0.0961271641804511,0.304850138476909,0.430506140128003,0.493112299944205,0.558545245033725,0.681461510753364,6816.28073338377,0.999883617679376,"FI"
"kappa8",0.000744404342588338,0.000399237966008984,0.0281568161633471,-0.0537150041084718,-0.0178432823834027,0.000569425252054177,0.0193601685874198,0.0570954858024749,4973.97298298769,0.999785977109648,"FI"
"sigma8",0.52343316671885,0.000493853607816402,0.0352082697784955,0.459990153805922,0.499044607254981,0.521594934051996,0.545755124951098,0.599161570680378,5082.6816041498,0.999758665492612,"FI"
"beta9",0.483022692358419,0.00212703172177368,0.152209791073635,0.188172559208123,0.379714224844341,0.483215308753166,0.587133372098716,0.783020596133874,5120.79329988557,0.999571707348475,"FR"
"kappa9",5.81920557350055e-05,0.000383101161652141,0.0264862592808447,-0.0515220608101939,-0.017942828063021,0.000100728545099384,0.0174830869357601,0.0533761627197445,4779.85051363267,1.00002502870695,"FR"
"sigma9",0.51570913106206,0.000515517224342898,0.0356181011366309,0.452063398931721,0.490773452904821,0.513767814361915,0.538605541664906,0.591500502383521,4773.70046265062,0.999487924963119,"FR"
"beta10",0.492084472649401,0.000831315064309761,0.0656559842062024,0.366308969041264,0.447935539028152,0.492163883839287,0.53652911063637,0.62062604036778,6237.59726789827,1.00073917784921,"DE"
"kappa10",-0.0338433204043242,0.000434657949948855,0.0313297643816306,-0.0946874020384594,-0.0547506106545181,-0.0340294142555571,-0.0129914886857917,0.0277976753983316,5195.40015298417,0.999905468386433,"DE"
"sigma10",0.52516753667034,0.000475198766354155,0.0362851908154302,0.460773196138055,0.499676082831246,0.523577179148037,0.548452959361031,0.601967280185184,5830.53240630875,0.9997951801487,"DE"
"beta11",0.526275244633845,0.00257452637460787,0.207244253158506,0.12254059602282,0.388766516672562,0.522280491689367,0.663513581201909,0.937677949188264,6479.929820952,1.0010876704785,"EL"
"kappa11",-0.0138500670623564,0.000670980298542093,0.054041817777135,-0.119227378109794,-0.049871913169467,-0.0139616748619337,0.0226673395762082,0.0913692564246278,6486.94716129327,1.00011428624173,"EL"
"sigma11",1.82159937810745,0.00165813871851999,0.123327168580006,1.59881588924099,1.734353515336,1.81635966087192,1.90361220518271,2.07660117691405,5531.91885116433,0.999640728467884,"EL"
"beta12",0.494065880189336,0.000818294780703993,0.062741012772735,0.36897305711996,0.452234891025556,0.494417670177355,0.537215098959045,0.615593227339755,5878.72963683369,0.999547177164373,"HU"
"kappa12",0.0398756796512648,0.000465034283475844,0.0362683928563602,-0.0301117719576123,0.0158947032310079,0.039665936883875,0.0638424039972344,0.110916164472022,6082.5638987253,1.00000372160042,"HU"
"sigma12",0.731133863440025,0.000694408120602477,0.0492575727299926,0.64209891474544,0.69710923929176,0.728865557960836,0.762149121575126,0.836057995899235,5031.71961381617,0.999881087566661,"HU"
"beta13",0.479425400527244,0.00150603802695228,0.117711620204174,0.246362987812237,0.404528147026015,0.479122986793484,0.557482051329793,0.711868882905035,6108.95321766582,0.99979785250409,"IE"
"kappa13",0.00505446562109336,0.000290619770764323,0.0222856558245241,-0.0386620848023125,-0.00994439692073981,0.00480256180450196,0.0200935225961213,0.0486984245529081,5880.3141221921,0.999574762114813,"IE"
"sigma13",0.725563086596328,0.000698372144748655,0.0498706829628493,0.638622681000519,0.689778701966019,0.722555474372322,0.75738568842718,0.832258539512613,5099.37339746056,1.00009102894112,"IE"
"beta14",0.433039331714749,0.00368524326363714,0.278917957438005,-0.104550541059046,0.244758703206246,0.434073822374063,0.622960565032091,0.983685289224727,5728.23241118048,0.999821001900494,"IT"
"kappa14",-0.022290294548405,0.000984848225056354,0.071390070048941,-0.159418103427993,-0.0700607217438092,-0.0229718627811364,0.024735726883118,0.118335865732293,5254.56783598925,0.999638263107209,"IT"
"sigma14",1.79573041420268,0.00175076951685814,0.120406063651799,1.58175022072003,1.71210557098945,1.78776674392815,1.87290092254966,2.05247130106862,4729.75629980081,0.999775281287241,"IT"
"beta15",0.497400148131629,0.000827714185764154,0.0665720950665501,0.36710102197276,0.453489674308691,0.496628851507831,0.54329587276953,0.627009360137209,6468.79893612578,0.999617265202268,"LV"
"kappa15",0.00613443338725327,0.000217299979348571,0.0169423861392882,-0.0271783982646881,-0.00516131074945196,0.0060166900070498,0.0173337193458595,0.0396024365679466,6078.96693601585,0.999858138068644,"LV"
"sigma15",0.689817700222452,0.000624725302646983,0.0471716868775095,0.605374254728448,0.656314478634,0.686951039417371,0.719890012246152,0.790128762938856,5701.44083463404,0.999817834480698,"LV"
"beta16",0.498530605036138,0.00108274752491869,0.0841433663911626,0.333369687318197,0.443477204980577,0.497677984453189,0.554778037388309,0.664733681017275,6039.28280601463,0.99998605486684,"LT"
"kappa16",-0.00881804417356741,0.000366383516024657,0.0294791807351296,-0.0657804937878609,-0.0289324920158428,-0.00888995680163326,0.0110910713045964,0.0500936050636565,6473.79536488741,0.999801040427579,"LT"
"sigma16",0.760484309112349,0.000677558640398992,0.0517626704720102,0.664763366787227,0.723520193086528,0.75800613187338,0.794132352794398,0.868030604090969,5836.32639646082,1.00035422119838,"LT"
"beta17",0.480295822795813,0.00253479172142175,0.191100861398948,0.102215021877244,0.353171954718387,0.482583434651956,0.606801928659004,0.858639648736211,5683.8254097184,0.999928243277064,"LU"
"kappa17",0.0186240801686889,0.00084149351350117,0.0635289021437378,-0.104507455401202,-0.0237157253318339,0.0185700711979181,0.0612966933265293,0.142698801545551,5699.55770794143,0.999485088932802,"LU"
"sigma17",1.09419681694784,0.00107274886992279,0.0755897810760611,0.956625552596142,1.04086192394155,1.08946225731953,1.1433787843003,1.25777449772309,4965.12336597811,1.00052250119767,"LU"
"beta18",0.503358552565981,0.00104066067680081,0.0788543325281746,0.346222103985043,0.450798952054451,0.503550392610796,0.556839795587604,0.65643134131243,5741.59865287553,0.999911047521209,"MT"
"kappa18",0.000548088555962933,0.00116144429915925,0.0950909241111064,-0.18251541625422,-0.0642571198262065,0.000995127014156855,0.0651826203757348,0.183902649009514,6703.18742492771,0.999767300037026,"MT"
"sigma18",2.12420773309784,0.00215829675475241,0.152998656497329,1.84896440591434,2.01487802792678,2.1142770284524,2.2232274414843,2.44623523966298,5025.19500049863,0.999695874840896,"MT"
"beta19",0.488824737792501,0.00101626408202738,0.0756980825125244,0.341234594960956,0.438005273045746,0.48814834028625,0.538656676619052,0.639511954074271,5548.25744074355,1.00023448184512,"NL"
"kappa19",-0.0243931184827566,0.000566615209144743,0.0470169970879355,-0.116158088735249,-0.0554613704119315,-0.0245514091739091,0.00668131648439064,0.0698496794957019,6885.4657177327,0.999546895036382,"NL"
"sigma19",0.786549594238213,0.000734555864966734,0.0547616812376,0.687527037226982,0.747934747338049,0.784535918923759,0.821792250721453,0.90191558209751,5557.81241498215,1.00072941340423,"NL"
"beta20",0.514584162713027,0.000891085239987721,0.0643790170766974,0.387989476776014,0.472172046063089,0.514897696641196,0.557365067086031,0.641011615654952,5219.75577341915,0.999893031611874,"PL"
"kappa20",0.0144045694244338,0.000504194603065398,0.0379361628204286,-0.0601650277828177,-0.011376977418825,0.0146742684589874,0.0400970908767818,0.0881053498612249,5661.22500107258,1.00001218139434,"PL"
"sigma20",0.595810572112861,0.000618436307850177,0.0411895548564915,0.521495699209971,0.567036116237683,0.594239517463977,0.621846097436658,0.683036118122555,4435.92545759228,1.00018770364554,"PL"
"beta21",0.506867203218626,0.00186590253011494,0.137171498485522,0.241380578396378,0.415223547514591,0.506941470910566,0.598677777701964,0.776950197989159,5404.42953552435,1.00033559594411,"PT"
"kappa21",-0.0464908647244099,0.000560208020233555,0.0409716230390704,-0.126804883455369,-0.0739177676022159,-0.0468234595950361,-0.0186174542930781,0.0347575533314816,5348.93958167654,1.00005065326327,"PT"
"sigma21",1.03196559495818,0.000936869257779437,0.0684739296473714,0.907236298518952,0.983778562961705,1.02783702951967,1.0766131347843,1.17432242725774,5341.86032099175,0.999874210722257,"PT"
"beta22",0.540354131278253,0.00121938835806911,0.0871287375108237,0.372329991314829,0.482003630915732,0.539709663089595,0.598895487795258,0.709369596610146,5105.50556231824,1.00005863744015,"RO"
"kappa22",-0.00209697934833107,0.000899543417658356,0.0667637242813526,-0.130684001768775,-0.0471179294074303,-0.002602213318885,0.0418330674524111,0.133607897378707,5508.54434432194,0.999709428395902,"RO"
"sigma22",1.55391966248875,0.00139251391831073,0.105310642539016,1.36576893240259,1.481307565536,1.54648172810643,1.61989343813534,1.77484242743813,5719.3336888638,0.999691173985624,"RO"
"beta23",0.493152891822242,0.00120344377078104,0.086105042752094,0.322983426055332,0.435471334209618,0.492838031815558,0.553107640023763,0.661713341284567,5119.2408986547,0.9998417085428,"SK"
"kappa23",0.0195533971799416,0.00103995618842302,0.071711316160446,-0.120526341427137,-0.0279915184052205,0.0209581993656438,0.0675991296807229,0.157509191775102,4754.94283020314,1.00035982757857,"SK"
"sigma23",1.28291464628186,0.00127068797491035,0.0882676050226198,1.12390738489408,1.22093089189071,1.27713778302506,1.34007177254951,1.47664559928928,4825.30584760191,1.00024402279652,"SK"
"beta24",0.506808753721069,0.00186004195028522,0.131934356292295,0.245541812068631,0.420011719969099,0.506013735717131,0.594536855300752,0.767751402808031,5031.18546058912,0.999679299170432,"SI"
"kappa24",0.0128487222816711,0.000497106915648034,0.0395977567431867,-0.0660248280351281,-0.0131472420639712,0.0127093928731547,0.0394262022188263,0.0905276681622012,6345.14508230455,0.999740845240793,"SI"
"sigma24",0.902344160147624,0.000853203116008489,0.0626324847878233,0.791151511393475,0.858937644851281,0.899130737996727,0.941500028587516,1.03419479059205,5388.8291834266,0.999934096098415,"SI"
"beta25",0.455895711018882,0.00377159602206118,0.289051245246829,-0.123823127304245,0.269637066282769,0.456135433142544,0.649984023862359,1.02457943976309,5873.5321640106,0.999716899981449,"ES"
"kappa25",-0.0261540988904648,0.000746559809585021,0.058277690175349,-0.139038089051647,-0.0653624579543859,-0.0259100303565012,0.0135630721765655,0.0850248415153611,6093.62112030536,1.00005944312615,"ES"
"sigma25",1.68448346611617,0.00152277638513914,0.113680638812614,1.47732335579141,1.6054711599488,1.6790892106299,1.75619541699598,1.92705051668696,5573.15015538029,1.00007270674154,"ES"
