"Country","gamma_f","kappa","gamma_b"
"SE",1,9.71510104911184e-21,0
"ES",0.999998918135708,0.0380800012775807,1.08186429226276e-06
"SI",0.999999836753153,0.0469798801131218,1.63246847373344e-07
"SK",1,5.37863502436099e-67,0
"RO",0.985721872054762,2.61242970447785e-07,0.0142781279452375
"PT",0.999997226663875,0.0755084602663562,2.77333612475061e-06
"PL",0.663499637591579,0.020104588344838,0.336500362408421
"NL",0.867517267992459,0.0151295724089283,0.132482732007541
"MT",0.843533371741468,5.504497459389e-06,0.156466628258532
"LU",0.999999591275202,0.0338911615961703,4.08724798228732e-07
"LT",0.999999437768337,0.022671719978724,5.6223166289282e-07
"LV",0.711278623901309,0.00204172396441676,0.288721376098691
"IT",1,9.71510104911184e-21,0
"IE",0.999999535997248,0.0118428865637725,4.64002752331716e-07
"HU",0.670106474334402,1.30162285201808e-08,0.329893525665598
"EL",0.99999850827768,0.0134192461296588,1.4917223198907e-06
"DE",0.765238675051546,0.047438683457466,0.234761324948454
"FR",1,9.71510104911184e-21,0
"FI",0.999999999999989,6.3510144093426e-17,1.0547118733939e-14
"EE",0.753210410724686,0.0116333589200463,0.246789589275314
"DK",1,9.71510104911184e-21,0
"CZ",1,9.71510104911184e-21,0
"CY",1,9.71510104911184e-21,0
"HR",0.996999946532932,0.0035980147395207,0.00300005346706755
"BG",1,9.71510104911184e-21,0
"BE",1,9.71510104911184e-21,0
"AT",0.999999715490319,0.0331444750241926,2.84509681480749e-07
